2025-06-05 21:10:01 | INFO     | core.optimized_engine |   Processed 16,900,000 events (1717569 events/s, avg batch: 0.7ms)
2025-06-05 21:10:01 | INFO     | core.optimized_engine |   Processed 17,000,000 events (1689208 events/s, avg batch: 0.6ms)
2025-06-05 21:10:01 | INFO     | data.streaming_data_handler |   Streamed 17,000,000 snapshots. Current: 2025-05-29 07:15:36.000071
2025-06-05 21:10:02 | INFO     | core.optimized_engine |   Processed 17,100,000 events (1426634 events/s, avg batch: 0.7ms)
2025-06-05 21:10:02 | INFO     | core.optimized_engine |   Processed 17,200,000 events (1678393 events/s, avg batch: 0.8ms)
2025-06-05 21:10:02 | INFO     | data.streaming_data_handler |   Streamed 17,200,000 snapshots. Current: 2025-05-29 07:15:01.140815
2025-06-05 21:10:02 | INFO     | core.optimized_engine |   Processed 17,300,000 events (1424212 events/s, avg batch: 0.7ms)
2025-06-05 21:10:03 | INFO     | core.optimized_engine |   Processed 17,400,000 events (1264487 events/s, avg batch: 0.7ms)
2025-06-05 21:10:03 | INFO     | data.streaming_data_handler |   Streamed 17,400,000 snapshots. Current: 2025-05-29 07:18:55.954353
2025-06-05 21:10:03 | INFO     | core.optimized_engine |   Processed 17,500,000 events (1422280 events/s, avg batch: 0.7ms)
2025-06-05 21:10:03 | INFO     | core.optimized_engine |   Processed 17,600,000 events (1280704 events/s, avg batch: 0.7ms)
2025-06-05 21:10:03 | INFO     | data.streaming_data_handler |   Streamed 17,600,000 snapshots. Current: 2025-05-29 07:20:21.796272
2025-06-05 21:10:03 | INFO     | core.optimized_engine |   Processed 17,700,000 events (1918712 events/s, avg batch: 0.7ms)
2025-06-05 21:10:04 | INFO     | core.optimized_engine |   Processed 17,800,000 events (1483659 events/s, avg batch: 0.7ms)
2025-06-05 21:10:04 | INFO     | data.streaming_data_handler |   Streamed 17,800,000 snapshots. Current: 2025-05-29 07:21:47.748731
2025-06-05 21:10:04 | INFO     | core.optimized_engine |   Processed 17,900,000 events (1691934 events/s, avg batch: 0.7ms)
2025-06-05 21:10:04 | INFO     | core.optimized_engine |   Processed 18,000,000 events (1436898 events/s, avg batch: 0.6ms)
2025-06-05 21:10:04 | INFO     | data.streaming_data_handler |   Streamed 18,000,000 snapshots. Current: 2025-05-29 07:23:22.616167
2025-06-05 21:10:05 | INFO     | core.optimized_engine |   Processed 18,100,000 events (1448810 events/s, avg batch: 0.7ms)
2025-06-05 21:10:05 | INFO     | core.optimized_engine |   Processed 18,200,000 events (1194618 events/s, avg batch: 0.7ms)
2025-06-05 21:10:05 | INFO     | data.streaming_data_handler |   Streamed 18,200,000 snapshots. Current: 2025-05-29 07:24:54.574618
2025-06-05 21:10:05 | INFO     | core.optimized_engine |   Processed 18,300,000 events (1416516 events/s, avg batch: 0.7ms)
2025-06-05 21:10:05 | INFO     | core.optimized_engine |   Processed 18,400,000 events (1192241 events/s, avg batch: 0.7ms)
2025-06-05 21:10:06 | INFO     | data.streaming_data_handler |   Streamed 18,400,000 snapshots. Current: 2025-05-29 07:26:11.673055
2025-06-05 21:10:06 | INFO     | core.optimized_engine |   Processed 18,500,000 events (1427119 events/s, avg batch: 0.7ms)
2025-06-05 21:10:06 | INFO     | core.optimized_engine |   Processed 18,600,000 events (1513097 events/s, avg batch: 0.7ms)
2025-06-05 21:10:06 | INFO     | data.streaming_data_handler |   Streamed 18,600,000 snapshots. Current: 2025-05-29 07:28:28.983049
2025-06-05 21:10:06 | INFO     | core.optimized_engine |   Processed 18,700,000 events (1726762 events/s, avg batch: 0.7ms)
2025-06-05 21:10:07 | INFO     | core.optimized_engine |   Processed 18,800,000 events (1369792 events/s, avg batch: 0.7ms)
2025-06-05 21:10:07 | INFO     | data.streaming_data_handler |   Streamed 18,800,000 snapshots. Current: 2025-05-29 07:30:14.120664
2025-06-05 21:10:07 | INFO     | core.optimized_engine |   Processed 18,900,000 events (1355187 events/s, avg batch: 0.7ms)
2025-06-05 21:10:07 | INFO     | core.optimized_engine |   Processed 19,000,000 events (1343897 events/s, avg batch: 0.7ms)
2025-06-05 21:10:07 | INFO     | data.streaming_data_handler |   Streamed 19,000,000 snapshots. Current: 2025-05-29 07:31:51.737110
2025-06-05 21:10:08 | INFO     | core.optimized_engine |   Processed 19,100,000 events (1432970 events/s, avg batch: 0.7ms)
2025-06-05 21:10:08 | INFO     | core.optimized_engine |   Processed 19,200,000 events (1434440 events/s, avg batch: 0.8ms)
2025-06-05 21:10:08 | INFO     | data.streaming_data_handler |   Streamed 19,200,000 snapshots. Current: 2025-05-29 07:33:13.129748
2025-06-05 21:10:08 | INFO     | core.optimized_engine |   Processed 19,300,000 events (1441342 events/s, avg batch: 0.7ms)
2025-06-05 21:10:08 | INFO     | core.optimized_engine |   Processed 19,400,000 events (1555751 events/s, avg batch: 0.7ms)
2025-06-05 21:10:08 | INFO     | data.streaming_data_handler |   Streamed 19,400,000 snapshots. Current: 2025-05-29 07:35:22.607437
2025-06-05 21:10:09 | INFO     | core.optimized_engine |   Processed 19,500,000 events (1709867 events/s, avg batch: 0.7ms)
2025-06-05 21:10:09 | INFO     | core.optimized_engine |   Processed 19,600,000 events (1267161 events/s, avg batch: 0.7ms)
2025-06-05 21:10:09 | INFO     | data.streaming_data_handler |   Streamed 19,600,000 snapshots. Current: 2025-05-29 07:37:35.125872
2025-06-05 21:10:09 | INFO     | core.optimized_engine |   Processed 19,700,000 events (1422763 events/s, avg batch: 0.7ms)
2025-06-05 21:10:10 | INFO     | core.optimized_engine |   Processed 19,800,000 events (577013 events/s, avg batch: 1.0ms)
2025-06-05 21:10:10 | INFO     | data.streaming_data_handler |   Streamed 19,800,000 snapshots. Current: 2025-05-29 07:39:37.106067
2025-06-05 21:10:10 | INFO     | core.optimized_engine |   Processed 19,900,000 events (1144109 events/s, avg batch: 1.0ms)
2025-06-05 21:10:11 | INFO     | core.optimized_engine |   Processed 20,000,000 events (931860 events/s, avg batch: 0.9ms)
2025-06-05 21:10:11 | INFO     | data.streaming_data_handler |   Streamed 20,000,000 snapshots. Current: 2025-05-29 07:41:40.532307
2025-06-05 21:10:11 | INFO     | core.optimized_engine |   Processed 20,100,000 events (1183828 events/s, avg batch: 1.2ms)
2025-06-05 21:10:11 | INFO     | core.optimized_engine |   Processed 20,200,000 events (889000 events/s, avg batch: 1.0ms)
2025-06-05 21:10:11 | INFO     | data.streaming_data_handler |   Streamed 20,200,000 snapshots. Current: 2025-05-29 07:43:17.451385
2025-06-05 21:10:12 | INFO     | core.optimized_engine |   Processed 20,300,000 events (1200430 events/s, avg batch: 0.9ms)
2025-06-05 21:10:12 | INFO     | core.optimized_engine |   Processed 20,400,000 events (1234708 events/s, avg batch: 0.8ms)
2025-06-05 21:10:12 | INFO     | data.streaming_data_handler |   Streamed 20,400,000 snapshots. Current: 2025-05-29 07:45:02.560103
2025-06-05 21:10:12 | INFO     | core.optimized_engine |   Processed 20,500,000 events (1717569 events/s, avg batch: 0.6ms)
2025-06-05 21:10:13 | INFO     | core.optimized_engine |   Processed 20,600,000 events (1436898 events/s, avg batch: 0.6ms)
2025-06-05 21:10:13 | INFO     | data.streaming_data_handler |   Streamed 20,600,000 snapshots. Current: 2025-05-29 07:46:59.898707
2025-06-05 21:10:13 | INFO     | core.optimized_engine |   Processed 20,700,000 events (1453328 events/s, avg batch: 0.7ms)
2025-06-05 21:10:13 | INFO     | core.optimized_engine |   Processed 20,800,000 events (1459396 events/s, avg batch: 0.7ms)
2025-06-05 21:10:13 | INFO     | data.streaming_data_handler |   Streamed 20,800,000 snapshots. Current: 2025-05-29 07:48:40.940413
2025-06-05 21:10:13 | INFO     | core.optimized_engine |   Processed 20,900,000 events (1451316 events/s, avg batch: 0.7ms)
2025-06-05 21:10:14 | INFO     | core.optimized_engine |   Processed 21,000,000 events (1432970 events/s, avg batch: 0.7ms)
2025-06-05 21:10:14 | INFO     | data.streaming_data_handler |   Streamed 21,000,000 snapshots. Current: 2025-05-29 07:50:36.464223
2025-06-05 21:10:14 | INFO     | core.optimized_engine |   Processed 21,100,000 events (1410799 events/s, avg batch: 0.7ms)
2025-06-05 21:10:14 | INFO     | core.optimized_engine |   Processed 21,200,000 events (1245340 events/s, avg batch: 0.7ms)
2025-06-05 21:10:14 | INFO     | data.streaming_data_handler |   Streamed 21,200,000 snapshots. Current: 2025-05-29 07:52:26.377843
2025-06-05 21:10:15 | INFO     | core.optimized_engine |   Processed 21,300,000 events (1703617 events/s, avg batch: 0.7ms)
2025-06-05 21:10:15 | INFO     | core.optimized_engine |   Processed 21,400,000 events (1422763 events/s, avg batch: 0.7ms)
2025-06-05 21:10:15 | INFO     | data.streaming_data_handler |   Streamed 21,400,000 snapshots. Current: 2025-05-29 07:53:52.368935
2025-06-05 21:10:15 | INFO     | core.optimized_engine |   Processed 21,500,000 events (1965466 events/s, avg batch: 0.7ms)
2025-06-05 21:10:16 | INFO     | core.optimized_engine |   Processed 21,600,000 events (1264106 events/s, avg batch: 0.7ms)
2025-06-05 21:10:16 | INFO     | data.streaming_data_handler |   Streamed 21,600,000 snapshots. Current: 2025-05-29 07:54:31.818341
2025-06-05 21:10:16 | INFO     | core.optimized_engine |   Processed 21,700,000 events (1384716 events/s, avg batch: 0.7ms)
2025-06-05 21:10:16 | INFO     | core.optimized_engine |   Processed 21,800,000 events (1726762 events/s, avg batch: 0.7ms)
2025-06-05 21:10:16 | INFO     | data.streaming_data_handler |   Streamed 21,800,000 snapshots. Current: 2025-05-29 07:56:41.236883
2025-06-05 21:10:16 | INFO     | core.optimized_engine |   Processed 21,900,000 events (1468594 events/s, avg batch: 0.7ms)
2025-06-05 21:10:17 | INFO     | core.optimized_engine |   Processed 22,000,000 events (1488397 events/s, avg batch: 0.7ms)
2025-06-05 21:10:17 | INFO     | data.streaming_data_handler |   Streamed 22,000,000 snapshots. Current: 2025-05-29 07:58:21.909533
2025-06-05 21:10:17 | INFO     | core.optimized_engine |   Processed 22,100,000 events (1432481 events/s, avg batch: 0.7ms)
2025-06-05 21:10:17 | INFO     | core.optimized_engine |   Processed 22,200,000 events (1420354 events/s, avg batch: 0.7ms)
2025-06-05 21:10:17 | INFO     | data.streaming_data_handler |   Streamed 22,200,000 snapshots. Current: 2025-05-29 08:00:17.827631
2025-06-05 21:10:18 | INFO     | core.optimized_engine |   Processed 22,300,000 events (1703617 events/s, avg batch: 0.7ms)
2025-06-05 21:10:18 | INFO     | core.optimized_engine |   Processed 22,400,000 events (1457874 events/s, avg batch: 0.7ms)
2025-06-05 21:10:18 | INFO     | data.streaming_data_handler |   Streamed 22,400,000 snapshots. Current: 2025-05-29 08:01:45.229649
2025-06-05 21:10:18 | INFO     | core.optimized_engine |   Processed 22,500,000 events (1597222 events/s, avg batch: 0.7ms)
2025-06-05 21:10:18 | INFO     | core.optimized_engine |   Processed 22,600,000 events (1516927 events/s, avg batch: 0.7ms)
